,StartYear,EndYear,Venue,City,Capacity,Team,ABV
299,1958,1972,Cincinnati Gardens             ,"Cincinnati,OH","11,438",Sacramento Kings ,SAC
300,1972,1974,Municipal Auditorium      ,"Kansas City,MO","9,929",Sacramento Kings ,SAC
302,1974,1978,Kemper Arena           ,"Kansas City,MO","16,785",Sacramento Kings ,SAC
304,1978,1985,Kemper Arena               ,"Kansas City,MO","16,785",Sacramento Kings ,SAC
305,1985,1988,ARCO Arena I                   ,"Sacramento,CA","10,333",Sacramento Kings ,SAC
306,1988,2013,ARCO Arena II                  ,"Sacramento,CA","17,317",Sacramento Kings ,SAC
307,2013,2019,Sleep Train Arena              ,"Sacramento,CA","17,317",Sacramento Kings ,SAC
316,1967,1970,Memorial Auditorium                ,"Dallas,TX","8,088",San Antoni Spurs ,SAS
318,1970,1971,Moody Coliseum                ,"Dallas,TX","8,500",San Antoni Spurs ,SAS
321,1971,1973,Moody Coliseum                     ,"Dallas,TX","9,500",San Antoni Spurs ,SAS
323,1973,1993,HemisFair Arena            ,"San Antonio,TX","16,057",San Antoni Spurs ,SAS
324,1993,2002,Alamodome                ,"San Antonio,TX","25,557",San Antoni Spurs ,SAS
325,2002,2010,SBC Center              ,"San Antonio,TX","20,557",San Antoni Spurs ,SAS
326,2010,2019,AT&T Center               ,"San Antonio,TX","18,418",San Antoni Spurs ,SAS
335,1967,1978,Seattle Center Coliseum          ,"Seattle,WA","14,098",Oklahoma City Thunder,OKC
336,1978,1985,Kingdome                         ,"Seattle,WA","40,192",Oklahoma City Thunder,OKC
337,1985,1994,Seattle Center Coliseum          ,"Seattle,WA","14,252",Oklahoma City Thunder,OKC
338,1994,1995,Tacoma Dome                       ,"Tacoma,WA","19,000",Oklahoma City Thunder,OKC
339,1995,2008,Key Arena                        ,"Seattle,WA","17,100",Oklahoma City Thunder,OKC
340,2008,2019,Chesapeake Energy Arena         ,"Oklahoma,OK","18,203",Oklahoma City Thunder,OKC
349,1995,1999,SkyDome                           ,"Toronto,ON","22,911",Toronto Raptors ,TOR
350,1999,2019,Air Canada Centre                ,"Toronto,ON","19,500",Toronto Raptors ,TOR
359,1974,1975,Municipal Auditorium       ,"New Orleans,LA","55,675",Utah Jazz,UTA
360,1975,1979,Superdome                      ,"New Orleans,LA","74,295",Utah Jazz,UTA
361,1979,1991,Salt Palace                ,"Salt Lake City,UT","14,000",Utah Jazz,UTA
362,1991,2006,Delta Center                 ,"Salt Lake City,UT","19,911",Utah Jazz,UTA
363,2006,2015,Energy Solutions Arena      ,"Salt Lake City,UT","19,911",Utah Jazz,UTA
364,2015,2019,Vivint Smart Home Arena     ,"Salt Lake City,UT","19,911",Utah Jazz,UTA
373,1961,1962,Chicago Amphitheater             ,"Chicago,IL","11,000",Washington Wizards,WAS
374,1962,1963,Chicago Coliseum                  ,"Chicago,IL","7,100",Washington Wizards,WAS
375,1963,1973,Baltimore Civic Center         ,"Baltimore,MD","12,289",Washington Wizards,WAS
376,1973,1997,USAir Arena                     ,"Landover,MD","18,756",Washington Wizards,WAS
377,1997,2005,MCI Center                    ,"Washington,DC","21,500",Washington Wizards,WAS
378,2005,2019,Verizon Center               ,"Washington,DC","20,356",Washington Wizards,WAS
